date,tag,asset,count
2026-08-20,v0.6.1,Spool-macOS-arm64.dmg,2
2026-08-20,v0.6.1,Spool-windows-x64-setup.exe,2
2026-08-20,v0.6.1,Spool_0.6.1_aarch64.dmg,0
2026-08-20,v0.6.1,Spool_0.6.1_x64-setup.exe,0
2026-08-20,v0.6.0,Spool-macOS-arm64.dmg,1
2026-08-20,v0.6.0,Spool-windows-x64-setup.exe,1
2026-08-20,v0.6.0,Spool_0.6.0_aarch64.dmg,0
2026-08-20,v0.6.0,Spool_0.6.0_x64-setup.exe,0
2026-08-20,v0.5.0,Spool-macOS-arm64.dmg,1
2026-08-20,v0.5.0,Spool-windows-x64-setup.exe,2
2026-08-20,v0.5.0,Spool_0.5.0_aarch64.dmg,0
2026-08-20,v0.5.0,Spool_0.5.0_x64-setup.exe,0
2026-08-20,v0.4.0,Spool-macOS-arm64.dmg,3
2026-08-20,v0.4.0,Spool_0.4.0_aarch64.dmg,1
2026-08-20,v0.3.0,Spool-macOS-arm64.dmg,17
2026-08-20,v0.3.0,Spool_0.3.0_aarch64.dmg,2
